名字,开放时间,评分,建议游玩时间,门票,来源城市
五指山Wuzhishan,7:30-16:00,5.0,2.5,0.0,三亚
孙中山故居纪念馆Sun Yat-Sen Memorial Hall,09:00-17:30,4.6,2.5,0.5,中山
雪山峡谷演艺公园Snow Mountain Canyon Park,8:00-17:30,4.8,1.5,800.0,丽江
石花水洞Shihua Water Tunnel,09:00-17:00,4.5,1.5,60.0,儋州
红螺寺Hongluo Temple,08:30-17:00,4.8,3.5,54.0,北京
阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall,09:00-18:00,4.9,2.5,45.0,南充
石梁飞瀑Shiliang Waterfall,8:00-16:00,4.7,3.0,50.0,台州
乌素图召Wusutuzhao Temples,8:00-18:00,4.8,2.5,5.0,呼和浩特
印象林花生态谷Impression Linhua Ecological Valley,9:00-16:30,4.5,2.5,60.0,咸宁
内城Neicheng,8:30-18:00,4.5,1.0,120.0,嘉峪关
张家花园Zhangjia Garden,8:00-19:00,5.0,1.5,80.0,大理
天柱山Tianzhu Mountain,7:00-17:30,4.7,108.0,130.0,安庆
天井峡景区Tianjing Gorge Scenic Area,7:00-18:00,4.6,12.0,20.0,定西
龙王洞Longwang Cave,08:30-16:30,4.7,1.0,50.0,常德
中山纪念堂Sun Yat-Sen Memorial,09:00-17:30,4.7,2.5,138.0,广州
神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area,08:30-17:30,4.4,2.75,95.0,恩施
惠州西湖Huizhou West Lake,8:00-21:00,4.6,12.0,4.0,惠州
成都爱道堂,8:30-17:00,5.0,1.5,0.0,成都
瘦西湖Slender West Lake,06:30-17:30,4.7,4.5,95.0,扬州
青龙洞Qinglong Cave,8:00-16:00,4.6,1.5,20.0,攀枝花
珏山Jueshan Mountain,8:00-5:00,4.6,3.5,50.0,晋城
金沙滩生态旅游区Golden Beach Ecotourism Area,8:00-19:00,3.9,72.0,258.0,朔州
富春江Fuchun River,8:00-17:00,5.0,2.0,1.0,杭州
永仁方山Yongren Square Mountain,08:00-18:00,4.7,2.0,10.0,楚雄州
玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple),8:30-17:00,4.6,1.5,8.0,汕尾
万绿湖风景区Wanlu Lake Scenic Spot,09:00-14:00,4.6,2.95,31.8,河源
泸州老窖景区,9:00-17:00,4.8,1.5,35.0,泸州
济南动物园Jinan Zoo,08:30-17:00,4.7,4.0,23.4,济南
济渎庙Jidu Temple,08:00-17:30,4.6,2.5,7.0,济源
雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark,8:00-18:00,4.6,2.5,45.0,海口
美林湖温泉Mayland Resort Hotel,09:00-00:00,4.7,2.5,118.0,清远
黄花溪Huanghua Creek,08:00-17:30,4.6,2.5,90.0,潍坊
白石岭Baishi Ridge,8:30-17:30,4.6,3.0,30.0,琼海
林则徐纪念馆Lin Zexu Memorial Hall,8:30-17:00,4.7,1.25,279.0,福州
罗荣桓故居Luoronghuan Former Residence,9:00-17:00,4.6,2.5,0.0,衡阳
黔灵山公园Qianling Mountain Park,07:00-18:00,4.6,3.5,9.0,贵阳
姑婆山Gupo Mountain,08:00-17:00,4.6,12.0,60.0,贺州
梅里雪山国家公园Meili Snow Mountain,6:00-16:30,4.7,108.0,8.0,迪庆
龙湾群国家森林公园四方顶景区,07:00-17:00,5.0,12.0,50.0,通化
柏乡牡丹世界旅游景区,9:00-18:00,5.0,2.5,30.0,邢台
鄂尔多斯大草原Ordos Prairie,8:00-22:00,4.6,6.0,39.9,鄂尔多斯
铁煤蒸汽机车博物馆Tiemeizhengqijiche Museum,08:30-16:00,4.4,1.0,80.0,铁岭
马鞍山马钢盆山Ma'anshan Magangpen Mountain,8:00-17:00,5.0,72.0,5.0,马鞍山
