名字,开放时间,评分,建议游玩时间,门票,来源城市
西岛West Island,08:30-17:30,4.4,4.0,90.0,三亚
亚龙湾国际玫瑰谷Yalong Bay Rose Valley,08:00-17:30,3.9,2.5,44.4,三亚
天涯海角Tianya Haijiao,07:30-18:20,4.5,4.0,79.0,三亚
小东海Xiaodonghai,9:00-16:00,4.6,3.0,368.0,三亚
情人岛Lover Island,08:00-17:30,4.6,1.5,1.0,三亚
五指山Wuzhishan,7:30-16:00,5.0,2.5,0.0,三亚
亚龙湾滨海世界Yalong Bay Ailifang Marina Park,8:00-18:00,4.6,12.0,218.0,三亚
鹿回头风景区Luhuitou Scenic Area,08:00-22:30,4.6,3.0,35.0,三亚
大小洞天Daxiaodongtian Area,07:30-18:30,4.6,3.5,25.0,三亚
情人湾Lover Bay,8:00-17:30,4.5,1.5,88.0,三亚
观日岩Sunrising Rock,08:00-17:30,4.7,1.0,0.0,三亚
南山海上观音Guanyin Goddess at Nanshan,8:00-17:30,4.8,1.5,122.0,三亚
万达文化中心,9:00-18:00,4.7,0.5,0.0,三亚
天涯海角-财富石,7:00-18:30,4.8,0.5,1.0,三亚
天涯海角-平安石,7:30-18:00,4.5,0.5,1.0,三亚
中山詹园Zhongshan Mansion Garden,8:30-17:30,4.5,2.0,50.0,中山
中山影视城Zhongshan TV and Film City,08:30-19:30,4.2,3.0,60.0,中山
五桂山Wuguishan,8:00-18:00,4.4,4.5,1.0,中山
孙中山故居纪念馆Sun Yat-Sen Memorial Hall,09:00-17:30,4.6,2.5,0.5,中山
紫马岭公园Zimaling Park,07:00-20:00,4.5,1.5,8.0,中山
鹿鸣湖山庄,8:30-18:00,3.0,3.0,10.0,中山
玉龙雪山Jade Dragon Snow Mountain,07:30-16:30,4.5,12.0,273.0,丽江
蓝月谷Blue Moon Valley,08:00-16:00,4.6,3.5,226.0,丽江
木府Mufu Palace,8:30-17:30,4.7,2.0,20.0,丽江
玉龙雪山索道Yulong Snow Mountain Cableway,08:00-16:00,4.4,0.5,328.0,丽江
虎跳峡（丽江段）Tiger Leaping Gorge,7:30-16:30,4.6,2.5,6518.0,丽江
万古楼Wangu Pavilion,8:30-18:00,4.4,0.75,27.8,丽江
云杉坪Yunshanping,7:00-18:00,4.4,2.0,88.0,丽江
长江第一湾First bay of the Yangtze River,8:00-18:00,4.2,1.5,3499.0,丽江
观音峡Guanyin Gorge,7:30-18:30,4.2,1.5,210.0,丽江
杜鹃园,9:00-18:00,4.0,2.0,105.0,丽江
雪山峡谷演艺公园Snow Mountain Canyon Park,8:00-17:30,4.8,1.5,800.0,丽江
东巴谷Dongba Valley,08:30-22:00,4.2,3.0,800.0,丽江
茶马古道安中马场Ancient Tea Route Anzhong Racecourse,8:00-17:00,3.1,1.25,0.0,丽江
扎美寺Zhamei Temple,8:00-18:00,4.1,1.5,20.0,丽江
吉意溶洞Guyi Cave,9:00-17:00,4.5,2.0,15.0,丽江
文峰寺Wenfeng Temple,08:30-18:00,4.8,3.5,5.0,丽江
千龟山Qianguishan,9:00-17:30,4.4,3.5,2.0,丽江
普贤寺Puxian Temple,8:30-17:30,4.6,1.5,0.0,丽江
方国瑜故居Fang Guoyu's Former Residence,9:00-17:00,4.6,1.5,50.0,丽江
金沙江三谷水景区Jinsha River Three Valley Water Scenic Area,8:00-18:00,4.3,2.5,120.0,丽江
东坡书院Dongpo Academy,8:30-17:30,4.4,1.0,23.0,儋州
海南热带植物园Hainan Tropical Botanical Garden,8:00-16:30,4.2,2.5,25.9,儋州
儋州蓝洋樱花乐园,08:00-18:00,4.2,2.0,35.0,儋州
石花水洞Shihua Water Tunnel,09:00-17:00,4.5,1.5,60.0,儋州
八达岭长城Badaling Great Wall,07:30-16:00,4.7,3.5,35.0,北京
古北水镇Gubei Water Town,09:00-23:00,4.7,108.0,140.0,北京
天安门广场Tiananmen Square,5:00-22:00,4.8,1.5,103.0,北京
圆明园Old Summer Palace,07:00-18:00,4.7,4.5,10.0,北京
南锣鼓巷Nanluoguxiang,10:00-21:00,4.5,3.0,0.2,北京
玉渊潭公园Yuyuantan Park,07:15-17:30,4.7,3.0,12.9,北京
北京野生动物园Beijing Wildlife Park,09:00-17:00,4.7,5.0,145.0,北京
北京后花园（白虎涧）风景区Back Garden (White Tiger Gully) Natural Scenic Area,8:00-17:00,4.1,4.5,39.9,北京
黄花城水长城Huanghuacheng Underwater Great Wall,08:30-17:00,4.7,3.5,58.0,北京
北京凤凰岭景区Fenghuangling Natural Scenic Area,07:00-17:00,4.6,6.0,25.0,北京
石林峡ShilinGorge,08:00-17:00,4.5,4.5,68.0,北京
白瀑寺Baipu Temple,08:00-17:00,4.5,2.5,1.0,北京
明十三陵Ming Tombs,08:30-16:30,4.5,3.5,20.0,北京
香山公园Fragrant Hills Park,6:00-18:30,4.7,3.0,5.0,北京
大觉寺Dajue Temple,09:00-17:00,4.6,1.0,1.4,北京
红螺寺Hongluo Temple,08:30-17:00,4.8,3.5,54.0,北京
中华民族博物院China Ethnic Culture Park,08:30-17:00,4.5,4.5,45.0,北京
龙门涧风景区Scenic Spots of Longmenjian,8:00-19:00,4.3,12.0,35.0,北京
司马台长城Simatai Great Wall,9:00-15:00,4.7,3.0,40.0,北京
北京国际鲜花港Beijing International Flower Port,09:00-17:00,4.6,2.5,30.0,北京
野鸭湖国家湿地公园Beijing Wild Duck Lake National Wetland Park,9:00-16:00,4.5,3.0,49.5,北京
九眼楼Jiuyanlou Mountain,8:00-18:00,4.0,1.5,40.0,北京
紫竹院公园Purple Bamboo Park,06:00-21:00,4.7,1.5,120.0,北京
双龙峡Shuanglong Gorge,08:00-17:30,4.5,3.0,15.0,北京
京东大峡谷Jingdong Grand Canyon,7:00-17:00,4.4,3.5,67.0,北京
灵水村Lingshui Village,8:30-17:30,4.3,12.0,20.0,北京
银山塔林Yinshan Pagoda Forest,8:00-16:00,4.7,1.0,15.0,北京
清代四川贡院Sichuan Qing Dynasty Imperial Examination Hall,8:00-18:30,4.5,2.0,50.0,南充
太蓬山Tai Peng Mountain,08:00-18:00,4.7,1.0,100.0,南充
阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall,09:00-18:00,4.9,2.5,45.0,南充
神仙居Shenxianju,8:00-17:00,4.5,3.5,99.0,台州
国清景区Guoqing Scenic Area,7:30-16:00,4.7,1.5,12.0,台州
石塘Shitang Town,7:30-17:00,4.5,144.0,3.0,台州
台州府城文化旅游区Taizhou Fucheng Cultural Tourism Zone,7:00-17:30,4.6,2.5,8.0,台州
东湖（台州府城）Donghu Lake,07:00-18:00,4.5,2.5,45.0,台州
石梁飞瀑Shiliang Waterfall,8:00-16:00,4.7,3.0,50.0,台州
景星岩Xianju Jingxing Cliff Scenic Spot & Historical Site,8:00-17:00,4.2,324.0,50.0,台州
琼台仙谷Taizhou Qiongtai Xiangu Scenic Resort,08:00-16:00,4.6,3.5,55.0,台州
淡竹休闲谷Danzhu Leisure Valley,8:00-16:30,4.1,5.0,44.9,台州
大鹿岛Dalu Island,7:30-17:30,4.2,4.5,40.5,台州
天台山大瀑布Tiantai Mountain Waterfall,08:00-17:00,4.4,2.0,100.0,台州
高明寺Gaomingsi,09:00-17:00,4.5,1.0,0.0,台州
温岭方山景区Wenling Fangshan Scenic Area,8:00-16:30,4.7,12.0,32.0,台州
皤滩古镇Potan Ancient Town,8:00-16:10,4.0,2.5,32.0,台州
